Judges,Percent of Prison Sentences Above The Median,Percent of Class 4 Felony Prison Sentences,Severity Metric
Maura  Slattery Boyle,0.5515179392824286,0.6569555717407137,0.6042367555115712
Diane Gordon Cannon,0.5025728987993139,0.6704545454545454,0.5865137221269296
Joseph Michael Claps,0.5784774436090225,0.5894819466248038,0.5839796951169132
Alfredo  Maldonado,0.4867924528301887,0.6617210682492581,0.5742567605397234
Kevin M Sheehan,0.46338912133891214,0.6799620132953467,0.5716755673171294
Thomas J Hennelly,0.4755532681420484,0.6657191586128482,0.5706362133774483
Jorge Luis Alonso,0.5164359861591695,0.6231493943472409,0.5697926902532052
Domenica A Stephenson,0.539179104477612,0.5981838819523269,0.5686814932149694
William G Lacy,0.4916629112212708,0.6456140350877193,0.5686384731544951
Angela Munari Petrone,0.5303370786516854,0.6061705989110708,0.5682538387813781
Matthew E Coghlan,0.5296722763507529,0.5982008995502249,0.563936587950489
James B Linn,0.5863797169811321,0.5233874938453964,0.5548836054132642
Michael B McHale,0.5185430463576159,0.5906735751295337,0.5546083107435749
Thaddeus L Wilson,0.5516115871073032,0.5575167376749848,0.5545641623911439
James Michael Obbish,0.5165202843998327,0.5902401239349342,0.5533802041673834
Timothy Joseph Joyce,0.5115332428765265,0.594059405940594,0.5527963244085603
Rickey  Jones,0.5226950354609929,0.5803698435277382,0.5515324394943656
Mary Margaret Brosnahan,0.4368932038834951,0.6650211565585331,0.5509571802210141
Stanley  Sacks,0.5311222171740119,0.5647788983708301,0.547950557772421
Charles P Burns,0.5526823620223852,0.5338007010515774,0.5432415315369813
Erica L Reddick,0.5481209899175069,0.5375446960667462,0.5428328429921265
"Byrne, Thomas",0.5443668993020937,0.5400593471810089,0.5422131232415512
"Araujo, Mauricio",0.5208728652751423,0.5592105263157895,0.5400416957954659
Carol M Howard,0.49201277955271566,0.580368906455863,0.5361908430042893
Vincent M Gaughan,0.49562256809338523,0.5763411279229711,0.5359818480081782
Michael  Brown,0.5859375,0.47767857142857145,0.5318080357142857
Steven J Goebel,0.5091463414634146,0.5511627906976744,0.5301545660805445
Joan Margaret O'Brien,0.46775580395528804,0.5887290167865707,0.5282424103709293
Arthur F Hill,0.46893787575150303,0.5819477434679335,0.5254428096097183
Clayton Jay Crane,0.4940513462742642,0.5483271375464684,0.5211892419103663
Neil J Linehan,0.33973479652492,0.698252688172043,0.5189937423484815
Neera  Walsh,0.4742974640164496,0.5619909502262443,0.518144207121347
William  Raines,0.3153153153153153,0.720216606498195,0.5177659609067551
Thomas V Gainer,0.46286276438760454,0.5622612681436211,0.5125620162656128
Kenneth J Wadas,0.46107506950880445,0.5575880758807588,0.5093315726947816
Nicholas R Ford,0.473142489546478,0.5446276293348493,0.5088850594406636
William H Hooks,0.47650602409638554,0.5390796201607012,0.5077928221285434
Lawrence Edward Flood,0.4295932051855163,0.572962728995578,0.5012779670905472
Carol A Kipperman,0.5652694610778443,0.43546099290780144,0.5003652269928228
William J Kunkle,0.35758196721311475,0.6319018404907976,0.49474190385195616
Dennis J Porter,0.47543966040024255,0.5130434782608696,0.4942415693305561
Brian K Flaherty,0.49357986646122237,0.4834680382072006,0.4885239523342115
Sharon M Sullivan,0.45944233206590623,0.5153609831029186,0.4874016575844124
Michele M Pitman,0.4118967452300786,0.5628642797668609,0.48738051249846975
Luciano  Panici,0.4855453350854139,0.4824742268041237,0.4840097809447688
Evelyn B Clay,0.5345384118786314,0.4325290437890974,0.4835337278338644
Joseph G Kazmierski,0.3787085514834206,0.5877300613496933,0.48321930641655697
Colleen Ann Hyland,0.39079965606190886,0.5729948066935949,0.48189723137775187
James N Karahalios,0.36444444444444446,0.5977011494252874,0.48107279693486593
Anna Helen Demacopoulos,0.4812760055478502,0.4808080808080808,0.4810420431779655
ELLEN  MANDELTORT,0.4503424657534247,0.5090543259557344,0.4796983958545795
Gregory Robert Ginex,0.5295124037639007,0.4298688193743693,0.47969061156913506
Catherine Marie Haberkorn,0.4408322496749025,0.5154639175257731,0.4781480836003378
Mary C Roberts,0.4392523364485981,0.5123873873873874,0.47581986191799275
Noreen Valeria Love,0.5333850931677019,0.4125514403292181,0.47296826674846
William T O'Brien,0.43526170798898073,0.5008777062609713,0.468069707124976
Garritt E Howard,0.5113960113960114,0.42231075697211157,0.4668533841840615
Geary W Kull,0.3592906707787201,0.5667293233082706,0.4630099970434954
Paula M Daleo,0.4563253012048193,0.46448598130841123,0.46040564125661526
Shelley  Sutker-Dermer,0.39326923076923076,0.5133120340788072,0.453290632424019
Earl B Hoffenberg,0.40463215258855584,0.49411764705882355,0.4493748998236897
Frank G Zelezinski,0.46216216216216216,0.4331896551724138,0.447675908667288
Thomas M Davy,0.41227180527383367,0.47297297297297297,0.44262238912340335
Timothy J Chambers,0.4459665144596651,0.4390467461044913,0.4425066302820782
John Joseph Hynes,0.38241923365890307,0.4946341463414634,0.43852669000018324
Kerry M Kennedy,0.33736559139784944,0.5385756676557863,0.43797062952681787
Allen F Murphy,0.4204081632653061,0.4506769825918762,0.43554257292859117
Lauren Gottainer Edidin,0.36851063829787234,0.5005302226935313,0.4345204304957018
Thomas P Fecarotta,0.3745019920318725,0.4774281805745554,0.42596508630321395
Rosemary Grant Higgins,0.43601059135039716,0.3987836663770634,0.41739712886373026
Marc W Martin,0.3940520446096654,0.432258064516129,0.41315505456289725
Kay M Hanlon,0.3543441226575809,0.44840525328330205,0.4013746879704415
